;avg_gyro-alpha;avg_gyro-beta;avg_gyro-gamma;avg_ax;avg_ay;avg_az;min_gyro-alpha;min_gyro-beta;min_gyro-gamma;min_ax;min_ay;min_az;max_gyro-alpha;max_gyro-beta;max_gyro-gamma;max_ax;max_ay;max_az
2017-02-20 18:56:58.500;1.24609375;0.45703125;4.2109375;0.02685546875;0.019287109375;-1.05578613282;0.734375;-0.4765625;3.796875;0.00927734375;0.005615234375;-1.06201171875;1.7578125;1.390625;4.625;0.04443359375;0.032958984375;-1.04956054688
2017-02-20 18:56:59.000;1.7578125;-0.4765625;4.625;0.00927734375;0.005615234375;-1.06201171875;1.7578125;-0.4765625;4.625;0.00927734375;0.005615234375;-1.06201171875;1.7578125;-0.4765625;4.625;0.00927734375;0.005615234375;-1.06201171875
2017-02-20 18:56:59.500;1.87109375;-0.69921875;3.80859375;0.0111083984375;0.0216064453125;-1.0556640625;1.7578125;-0.921875;2.9921875;0.00927734375;0.005615234375;-1.06201171875;1.984375;-0.4765625;4.625;0.012939453125;0.03759765625;-1.04931640625
2017-02-20 18:57:00.000;1.984375;-0.921875;2.9921875;0.012939453125;0.03759765625;-1.04931640625;1.984375;-0.921875;2.9921875;0.012939453125;0.03759765625;-1.04931640625;1.984375;-0.921875;2.9921875;0.012939453125;0.03759765625;-1.04931640625
2017-02-20 18:57:00.500;1.3515625;-1.1015625;3.515625;0.0205078125;0.012939453125;-1.04248046875;0.71875;-1.28125;2.9921875;0.012939453125;-0.01171875;-1.04931640625;1.984375;-0.921875;4.0390625;0.028076171875;0.03759765625;-1.03564453125
2017-02-20 18:57:01.000;0.71875;-1.28125;4.0390625;0.028076171875;-0.01171875;-1.03564453125;0.71875;-1.28125;4.0390625;0.028076171875;-0.01171875;-1.03564453125;0.71875;-1.28125;4.0390625;0.028076171875;-0.01171875;-1.03564453125
2017-02-20 18:57:01.500;-0.21484375;-1.3671875;4.04296875;0.039306640625;0.015380859375;-1.0498046875;-1.1484375;-1.453125;4.0390625;0.028076171875;-0.01171875;-1.06396484375;0.71875;-1.28125;4.046875;0.050537109375;0.04248046875;-1.03564453125
2017-02-20 18:57:02.000;-1.1484375;-1.453125;4.046875;0.050537109375;0.04248046875;-1.06396484375;-1.1484375;-1.453125;4.046875;0.050537109375;0.04248046875;-1.06396484375;-1.1484375;-1.453125;4.046875;0.050537109375;0.04248046875;-1.06396484375
2017-02-20 18:57:02.500;-0.59765625;-0.55859375;4.46875;0.02880859375;0.027587890625;-1.05871582032;-1.1484375;-1.453125;4.046875;0.007080078125;0.0126953125;-1.06396484375;-0.046875;0.3359375;4.890625;0.050537109375;0.04248046875;-1.05346679688
2017-02-20 18:57:03.000;-0.046875;0.3359375;4.890625;0.007080078125;0.0126953125;-1.05346679688;-0.046875;0.3359375;4.890625;0.007080078125;0.0126953125;-1.05346679688;-0.046875;0.3359375;4.890625;0.007080078125;0.0126953125;-1.05346679688
2017-02-20 18:57:03.500;61.87109375;-96.92578125;74.82421875;-0.302978515625;-0.401245117188;-0.506469726565;-0.046875;-194.1875;4.890625;-0.613037109375;-0.815185546875;-1.05346679688;123.7890625;0.3359375;144.7578125;0.007080078125;0.0126953125;0.04052734375
