;timestamp;gyro-alpha;gyro-beta;gyro-gamma;accel-x;accel-y;accel-z
0;1481459588354;0.0703125;-0.171875;4.0;-0.013916015625;-0.01953125;1.04907226562
1;1481459588488;0.0703125;-0.171875;4.0;-0.013916015625;-0.01953125;1.04907226562
2;1481459588628;0.0703125;-0.171875;4.0;-0.013916015625;-0.01953125;1.04907226562
3;1481459588768;0.390625;-0.1171875;2.5625;-0.019287109375;-0.034912109375;1.0009765625
4;1481459588908;0.390625;-0.1171875;2.5625;-0.019287109375;-0.034912109375;1.0009765625
5;1481459589048;0.390625;-0.1171875;2.5625;-0.019287109375;-0.034912109375;1.0009765625
6;1481459589194;0.390625;-0.1171875;2.5625;-0.019287109375;-0.034912109375;1.0009765625
7;1481459589328;0.390625;-0.1171875;2.5625;-0.019287109375;-0.034912109375;1.0009765625
8;1481459589468;0.390625;-0.1171875;2.5625;-0.019287109375;-0.034912109375;1.0009765625
9;1481459589608;0.390625;-0.1171875;2.5625;-0.019287109375;-0.034912109375;1.0009765625
10;1481459589748;-0.6875;-3.4375;4.5;0.022216796875;0.056640625;0.989013671875
11;1481459589888;-0.6875;-3.4375;4.5;0.022216796875;0.056640625;0.989013671875
12;1481459590028;-0.6875;-3.4375;4.5;0.022216796875;0.056640625;0.989013671875
13;1481459590168;-0.6875;-3.4375;4.5;0.022216796875;0.056640625;0.989013671875
14;1481459590314;-0.6875;-3.4375;4.5;0.022216796875;0.056640625;0.989013671875
15;1481459590448;-0.6875;-3.4375;4.5;0.022216796875;0.056640625;0.989013671875
16;1481459590588;-0.6875;-3.4375;4.5;0.022216796875;0.056640625;0.989013671875
17;1481459590735;-0.171875;-0.6640625;5.0;0.095703125;-0.05126953125;1.00463867188
18;1481459590868;-0.171875;-0.6640625;5.0;0.095703125;-0.05126953125;1.00463867188
19;1481459591008;-0.171875;-0.6640625;5.0;0.095703125;-0.05126953125;1.00463867188
20;1481459591148;-0.171875;-0.6640625;5.0;0.095703125;-0.05126953125;1.00463867188
21;1481459591288;-0.171875;-0.6640625;5.0;0.095703125;-0.05126953125;1.00463867188
22;1481459591428;-0.171875;-0.6640625;5.0;0.095703125;-0.05126953125;1.00463867188
23;1481459591568;-0.171875;-0.6640625;5.0;0.095703125;-0.05126953125;1.00463867188
24;1481459591708;1.265625;0.5546875;3.765625;0.017578125;0.02880859375;0.948486328125
25;1481459591848;1.265625;0.5546875;3.765625;0.017578125;0.02880859375;0.948486328125
26;1481459591994;1.265625;0.5546875;3.765625;0.017578125;0.02880859375;0.948486328125
27;1481459592128;1.265625;0.5546875;3.765625;0.017578125;0.02880859375;0.948486328125
28;1481459592268;1.265625;0.5546875;3.765625;0.017578125;0.02880859375;0.948486328125
29;1481459592408;1.265625;0.5546875;3.765625;0.017578125;0.02880859375;0.948486328125
30;1481459592548;1.265625;0.5546875;3.765625;0.017578125;0.02880859375;0.948486328125
31;1481459592688;1.265625;0.5546875;3.765625;0.017578125;0.02880859375;0.948486328125
32;1481459592828;0.0703125;-1.7734375;4.1171875;-0.016845703125;-0.00732421875;1.03051757812
33;1481459592968;0.0703125;-1.7734375;4.1171875;-0.016845703125;-0.00732421875;1.03051757812
34;1481459593114;0.0703125;-1.7734375;4.1171875;-0.016845703125;-0.00732421875;1.03051757812
35;1481459593248;0.0703125;-1.7734375;4.1171875;-0.016845703125;-0.00732421875;1.03051757812
36;1481459593388;0.0703125;-1.7734375;4.1171875;-0.016845703125;-0.00732421875;1.03051757812
37;1481459593528;0.0703125;-1.7734375;4.1171875;-0.016845703125;-0.00732421875;1.03051757812
38;1481459593668;0.0703125;-1.7734375;4.1171875;-0.016845703125;-0.00732421875;1.03051757812
39;1481459593808;-0.078125;-1.0078125;3.5546875;0.00927734375;0.039794921875;1.01098632812
40;1481459593954;-0.078125;-1.0078125;3.5546875;0.00927734375;0.039794921875;1.01098632812
41;1481459594088;-0.078125;-1.0078125;3.5546875;0.00927734375;0.039794921875;1.01098632812
42;1481459594228;-0.078125;-1.0078125;3.5546875;0.00927734375;0.039794921875;1.01098632812
43;1481459594374;-0.078125;-1.0078125;3.5546875;0.00927734375;0.039794921875;1.01098632812
44;1481459594508;-0.078125;-1.0078125;3.5546875;0.00927734375;0.039794921875;1.01098632812
45;1481459594648;-0.078125;-1.0078125;3.5546875;0.00927734375;0.039794921875;1.01098632812
46;1481459594788;-0.046875;0.4609375;3.1796875;0.02978515625;0.002685546875;0.9775390625
